start,end,value
58699,58738,-0.03285774913020811
58948,58980,0.07960065213372118
60573,60578,-0.002868842126493606
143882,144182,0.17706459989579323
144182,144481,0.22204796040136499
144481,144600,0.17706459989579323
144620,144624,-0.18280228414878053
145078,145080,-0.04785220263206536
145154,145453,0.07960065213372118
145453,145752,0.08709787888464972
145752,145905,0.07210342538279246
153165,153173,-0.03285774913020811
153815,153873,0.21455073365043625
154032,154091,0.12458401263929295
155203,155316,0.20705350689950772
155337,155542,-0.07034388288485115
155562,155618,-0.07784110963577986
155632,155770,-0.07784110963577986
155792,155854,0.03461729162814943
155879,155928,0.019622838126292178
155949,155986,-0.05534942938299408
156013,156035,0.012125611375363646
156054,156098,-0.04785220263206536
156123,156421,0.04211451837907797
156425,156469,-0.13781892364320886
235724,235729,0.199556280148579
242968,242970,0.027120064877220896
295073,295076,0.10958955913743569
582364,582377,-0.13781892364320886
582469,582471,0.1395784661411502
693673,693678,-0.10033278988856564
780500,780799,0.07210342538279246
780799,781099,0.12458401263929295
781099,781399,0.08709787888464972
781399,781481,0.10209233238650697
781494,781631,0.06460619863186394
782120,782374,-0.01786329562835086
782388,782436,0.07210342538279246
782465,782765,0.03461729162814943
782765,782863,0.012125611375363646
782876,783175,0.12458401263929295
784589,784591,-0.1753050573978519
784636,784638,-0.27276900515992397
901550,901557,0.2520368674050793
901584,901586,0.2745285476578653
901685,901696,0.2820257744087938
901763,901781,0.13208123939022148
902505,902598,0.21455073365043625
902811,902813,0.23704241390322223
902823,902826,0.16207014639393597
902839,903136,0.26703132090693654
903140,903147,0.06460619863186394
903204,903219,0.08709787888464972
929654,929953,0.30451745466157976
929960,930250,0.3420035884162228
930266,930564,0.32700913491436556
930565,930708,0.22954518715229352
930760,930763,0.2520368674050793
930780,930886,0.26703132090693654
1072343,1072349,0.22204796040136499
1072893,1072902,0.23704241390322223
1073201,1073218,0.2745285476578653
1073232,1073281,0.2520368674050793
1073291,1073522,0.25953409415600803
1073593,1073595,0.21455073365043625
1106449,1106749,0.17706459989579323
1106750,1107003,0.16207014639393597
1107019,1107319,0.21455073365043625
1107319,1107399,0.20705350689950772
1107414,1107658,0.17706459989579323
1187899,1187902,-0.07034388288485115
1188930,1188938,-0.1453161503941374
1188952,1188987,-0.13032169689228015
1189061,1189071,-0.2652717784089953
1189325,1189341,-0.12282447014135162
1189374,1189390,0.04211451837907797
1189414,1189419,0.03461729162814943
1189637,1189648,-0.370232952921996
1189973,1189990,-0.05534942938299408
1190208,1190212,-0.29526068541270983
1190273,1190276,-0.41521631342756776
1190531,1190538,-0.1453161503941374
1190580,1190586,-0.3852274064238532
1190698,1190701,-0.49768580768778253
1190969,1190984,-0.2802662319108526
1191138,1191196,-0.0853383363867084
1191265,1191285,-0.12282447014135162
1191415,1191448,0.12458401263929295
1191515,1191549,0.14707569289207872
1191581,1191600,-0.1453161503941374
1191714,1191796,-0.025360522379279576
1192719,1192721,-0.40771908667663914
1246942,1247064,0.2820257744087938
1247092,1247392,0.30451745466157976
1247392,1247691,0.30451745466157976
1247691,1247853,0.25953409415600803
1247883,1247891,-0.040354975881136824
1247983,1248267,0.22954518715229352
1248321,1248341,0.11708678588836423
1269233,1269235,-0.10033278988856564
1269271,1269280,0.049611745130006685
1269362,1269394,0.04211451837907797
1269857,1269874,0.13208123939022148
1270516,1270529,0.09459510563557844
1270540,1270840,0.2895230011597225
1270840,1270862,0.26703132090693654
1270876,1270890,0.16207014639393597
1270909,1271108,0.21455073365043625
1271157,1271328,0.14707569289207872
1271456,1271465,0.1695673731448645
1271564,1271567,0.019622838126292178
1272031,1272099,0.1395784661411502
1272425,1272429,-0.19029951089970915
1272456,1272755,0.057108971880935215
1272755,1273027,0.09459510563557844
1273043,1273237,0.09459510563557844
1600481,1600485,0.10958955913743569
1601265,1601294,0.09459510563557844
1601309,1601311,0.03461729162814943
1601469,1601474,-0.30275791216363845
1601635,1601640,-0.3402440459182815
1601690,1601693,-0.3102551389145671
1602676,1602680,-0.25027732490713805
1602794,1602823,-0.0853383363867084
1602898,1602912,-0.30275791216363845
1602938,1602973,-0.13781892364320886
1603198,1603200,0.0046283846244349275
1603278,1603284,-0.03285774913020811
1603388,1603420,-0.010366068877422325
1603433,1603435,-0.2277856446543522
1603623,1603635,-0.2577745516580667
1604683,1604685,0.07210342538279246
1778574,1778693,0.3420035884162228
1778710,1779009,0.3644952686690086
1779009,1779119,0.30451745466157976
1779134,1779434,0.3644952686690086
1780630,1780929,0.34950081516715154
1780929,1781229,0.3644952686690086
1781231,1781503,0.2520368674050793
1781515,1781814,0.3420035884162228
1781814,1782113,0.3420035884162228
1782113,1782403,0.3120146814125083
1782434,1782555,0.3120146814125083
1799532,1799534,-0.13781892364320886
1942573,1942577,0.06460619863186394
2117220,2117231,-0.27276900515992397
2117252,2117279,-0.2877634586617812
2117532,2117535,-0.27276900515992397
2117868,2117872,-0.2652717784089953
2117931,2117939,0.012125611375363646
2118047,2118070,-0.18280228414878053
2118235,2118239,-0.12282447014135162
2118681,2118708,-0.1977967376506378
2118725,2118730,-0.2277856446543522
2118742,2118752,-0.1753050573978519
2118961,2118968,-0.2352828714052808
2119099,2119120,-0.1453161503941374
2135304,2135604,-0.04785220263206536
2135604,2135677,-0.05534942938299408
2135697,2135756,-0.07784110963577986
2135793,2136071,-0.09283556313763712
2136096,2136164,-0.2652717784089953
2136199,2136347,-0.1753050573978519
2136358,2136657,-0.2352828714052808
2136657,2136661,-0.13781892364320886
2291999,2292298,0.30451745466157976
2292298,2292558,0.319511908163437
2292571,2292870,0.3420035884162228
2292870,2293020,0.319511908163437
2293034,2293041,0.09459510563557844
2293051,2293062,0.18456182664672177
2293562,2293861,0.2895230011597225
2293861,2294161,0.2895230011597225
2294161,2294190,0.10958955913743569
2294206,2294307,0.20705350689950772
2294572,2294581,-0.10783001663949436
2294639,2294650,-0.12282447014135162
2294731,2294734,0.08709787888464972
2294784,2294786,0.07960065213372118
2294799,2295099,0.25953409415600803
2295099,2295399,0.26703132090693654
2295399,2295508,0.1695673731448645
2312509,2312647,-0.06284665613392261
2312668,2312818,-0.040354975881136824
2312916,2313101,-0.07034388288485115
2313119,2313418,-0.05534942938299408
2313418,2313717,-0.06284665613392261
2313794,2313828,-0.2277856446543522
2313862,2313865,-0.1453161503941374
2314136,2314435,-0.06284665613392261
2314435,2314735,-0.10033278988856564
2314735,2315034,-0.09283556313763712
2315034,2315091,-0.13032169689228015
2419617,2419696,0.13208123939022148
2419764,2419833,0.1695673731448645
2542187,2542195,-0.10033278988856564
2542578,2542581,-0.10033278988856564
2542679,2542682,0.019622838126292178
2542702,2542708,0.012125611375363646
2543222,2543232,-0.16780783064692328
2546819,2546829,-0.06284665613392261
2547995,2547999,-0.2277856446543522
2718401,2718662,0.21455073365043625
2718773,2719071,0.2895230011597225
2741956,2742103,0.2820257744087938
2742114,2742322,0.30451745466157976
2742483,2742782,0.30451745466157976
2742782,2742916,0.30451745466157976
2742936,2743063,0.24453964065415076
2804536,2804540,0.11708678588836423
2804560,2804565,0.2520368674050793
2831647,2831731,0.19205905339765048
2831744,2832043,0.25953409415600803
2832044,2832342,0.23704241390322223
2832343,2832393,0.19205905339765048
2886655,2886658,-0.29526068541270983
2886724,2886728,-0.05534942938299408
2891837,2891839,0.03461729162814943
2892738,2892763,-0.07034388288485115
2892836,2892869,-0.12282447014135162
2892883,2892907,-0.1453161503941374
2892973,2892976,-0.22028841790342357
