0,nan
3600,nan
7200,nan
10800,nan
14400,nan
18000,nan
21600,nan
25200,nan
28800,nan
32400,nan
36000,nan
39600,nan
43200,nan
46800,nan
50400,nan
54000,nan
57600,nan
61200,nan
64800,nan
68400,nan
72000,nan
75600,nan
79200,nan
82800,nan
86400,nan
90000,nan
93600,nan
97200,nan
100800,nan
104400,nan
108000,nan
111600,nan
115200,nan
118800,nan
122400,nan
126000,nan
129600,nan
133200,nan
136800,nan
140400,nan
144000,nan
147600,nan
151200,nan
154800,nan
158400,nan
162000,nan
165600,nan
169200,nan
172800,nan
176400,nan
180000,nan
183600,nan
187200,nan
190800,nan
194400,nan
198000,nan
201600,nan
205200,nan
208800,nan
212400,nan
216000,nan
219600,nan
223200,nan
226800,nan
230400,nan
234000,nan
237600,nan
241200,nan
244800,nan
248400,nan
252000,nan
255600,nan
259200,nan
262800,nan
266400,nan
270000,nan
273600,nan
277200,nan
280800,nan
284400,nan
288000,nan
291600,nan
295200,nan
298800,nan
302400,nan
306000,nan
309600,nan
313200,nan
316800,nan
320400,nan
324000,nan
327600,nan
331200,nan
334800,nan
338400,nan
342000,nan
345600,nan
349200,nan
352800,nan
356400,nan
360000,nan
363600,nan
367200,nan
370800,nan
374400,nan
378000,-1.3616117282146107
381600,-1.318261421752042
385200,-1.2749111152894734
388800,-1.2315608088269048
392400,-1.1882105023643361
396000,-1.1448601959017675
399600,-1.1015098894391988
403200,-1.0581595829766302
406800,-1.0148092765140615
410400,-0.9714589700514928
414000,-0.9281086635889242
417600,-0.8847583571263555
421200,-0.8414080506637869
424800,-0.7980577442012182
428400,-0.7547074377386496
432000,-0.7113571312760809
435600,-0.6680068248135123
439200,-0.6246565183509436
442800,-0.581306211888375
446400,-0.5379559054258063
450000,-0.49460559896323764
453600,-0.451255292500669
457200,-0.4079049860381003
460800,-0.36455467957553167
464400,-0.3472145569905042
468000,-0.32987443440547676
471600,-0.31253431182044933
475200,-0.29519418923542184
478800,-0.27785406665039436
482400,-0.26051394406536693
486000,-0.24317382148033947
489600,-0.22583369889531202
493200,-0.20849357631028456
496800,-0.1911534537252571
500400,-0.17381333114022965
504000,-0.1564732085552022
507600,-0.13913308597017474
511200,-0.12179296338514728
514800,-0.10445284080011985
518400,-0.08711271821509237
522000,-0.06977259563006488
525600,-0.05243247304503745
529200,-0.035092350460010024
532800,-0.01775222787498254
536400,-0.0004121052899550559
540000,0.016928017295072373
543600,0.03426813988009988
547200,-0.0019884800704120867
550800,-0.03824510002092405
554400,-0.07450171997143601
558000,-0.11075833992194797
561600,-0.14701495987245994
565200,-0.1832715798229719
568800,-0.21952819977348384
572400,-0.25578481972399586
576000,-0.29204143967450785
579600,-0.3282980596250198
583200,-0.3645546795755317
586800,-0.4008112995260437
590400,-0.4370679194765557
594000,-0.4733245394270676
597600,-0.5095811593775795
601200,-0.5458377793280915
604800,-0.5820943992786035
608400,-0.6183510192291155
612000,-0.6546076391796274
615600,-0.6908642591301394
619200,-0.7271208790806514
622800,-0.7633774990311633
626400,-0.7338350679603757
630000,-0.7042926368895882
633600,-0.6747502058188006
637200,-0.6452077747480132
640800,-0.6156653436772256
644400,-0.5861229126064381
648000,-0.5565804815356505
651600,-0.5270380504648631
655200,-0.4974956193940755
658800,-0.46795318832328797
662400,-0.43841075725250045
666000,-0.4088683261817129
669600,-0.3793258951109254
673200,-0.3497834640401379
676800,-0.32024103296935036
680400,-0.29069860189856284
684000,-0.2611561708277753
687600,-0.23161373975698774
691200,-0.20207130868620027
694800,-0.1725288776154127
698400,-0.14298644654462522
702000,-0.11344401547383764
705600,-0.08390158440305018
709200,-0.0543591533322626
712800,-0.024816722261475133
716400,0.0047257088093124455
720000,0.03426813988009988
723600,-0.0019884800704120867
727200,-0.03824510002092405
730800,-0.07450171997143601
734400,-0.11075833992194797
738000,-0.14701495987245994
741600,-0.1832715798229719
745200,-0.21952819977348384
748800,-0.25578481972399586
752400,-0.29204143967450785
756000,-0.3282980596250198
759600,-0.3645546795755317
763200,-0.4008112995260437
766800,-0.4370679194765557
770400,-0.4733245394270676
774000,-0.5095811593775795
777600,-0.5458377793280915
781200,-0.5820943992786035
784800,-0.6183510192291155
788400,-0.6546076391796274
792000,-0.6908642591301394
795600,-0.7271208790806514
799200,-0.7633774990311633
802800,-0.7394481298638254
806400,-0.7155187606964875
810000,-0.6915893915291496
813600,-0.6676600223618117
817200,-0.6437306531944738
820800,-0.6198012840271359
824400,-0.595871914859798
828000,-0.5719425456924601
831600,-0.5480131765251222
835200,-0.5240838073577843
838800,-0.5001544381904464
842400,-0.4762250690231085
846000,-0.4522956998557706
849600,-0.4283663306884327
853200,-0.4044369615210948
856800,-0.3805075923537569
860400,-0.356578223186419
864000,-0.3326488540190811
867600,-0.3087194848517432
871200,-0.2847901156844053
874800,-0.2608607465170675
878400,-0.23693137734972958
882000,-0.21300200818239168
885600,-0.18907263901505378
889200,-0.1651432698477159
892800,-0.1651432698477159
896400,-0.1651432698477159
900000,-0.1651432698477159
903600,-0.1651432698477159
907200,-0.1651432698477159
910800,-0.1651432698477159
914400,-0.1651432698477159
918000,-0.1651432698477159
921600,-0.1651432698477159
925200,-0.1651432698477159
928800,-0.1651432698477159
932400,-0.1651432698477159
936000,-0.1651432698477159
939600,-0.1651432698477159
943200,-0.1651432698477159
946800,-0.1651432698477159
950400,-0.1651432698477159
954000,-0.1651432698477159
957600,-0.1651432698477159
961200,-0.1651432698477159
964800,-0.1651432698477159
968400,-0.1651432698477159
972000,-0.1651432698477159
975600,-0.21952819977348384
