start,end,value
58699,58738,6.566018423746162
58948,58980,-1.0
143882,144182,-1.0
144182,144481,-1.0
144481,144600,-1.0
145154,145453,-1.0
145453,145752,-1.0
145752,145905,-1.0
153815,153873,-1.0
154032,154091,-1.0
155203,155316,-1.0
155337,155542,0.2610030706243604
155562,155618,0.2610030706243604
155632,155770,-1.0
155792,155854,-1.0
155879,155928,-1.0
155949,155986,-1.0
156013,156035,2.783009211873081
156054,156098,0.8915046059365405
156123,156421,-1.0
156425,156469,1.5220061412487207
780500,780799,-1.0
780799,781099,-1.0
781099,781399,-1.0
781399,781481,-1.0
781494,781631,-1.0
782120,782374,-1.0
782388,782436,-1.0
782465,782765,-1.0
782765,782863,-1.0
782876,783175,-1.0
901763,901781,-1.0
902505,902598,-1.0
902839,903136,-1.0
929654,929953,-1.0
929960,930250,-1.0
930266,930564,-1.0
930565,930708,2.152507676560901
930780,930886,-1.0
1073201,1073218,-1.0
1073232,1073281,-1.0
1073291,1073522,-1.0
1106449,1106749,-1.0
1106750,1107003,-1.0
1107019,1107319,-1.0
1107319,1107399,-1.0
1107414,1107658,-1.0
1188952,1188987,-1.0
1189325,1189341,-1.0
1189374,1189390,-1.0
1191138,1191196,-1.0
1191265,1191285,3.4135107471852617
1191415,1191448,-1.0
1191515,1191549,-1.0
1191581,1191600,-1.0
1191714,1191796,-1.0
1246942,1247064,-1.0
1247092,1247392,-1.0
1247392,1247691,-1.0
1247691,1247853,-0.3694984646878198
1247983,1248267,-1.0
1248321,1248341,-1.0
1269362,1269394,5.305015353121803
1269857,1269874,-1.0
1270516,1270529,-1.0
1270540,1270840,-1.0
1270840,1270862,-1.0
1270909,1271108,-1.0
1271157,1271328,-1.0
1272031,1272099,-1.0
1272456,1272755,-1.0
1272755,1273027,-1.0
1273043,1273237,-1.0
1601265,1601294,3.4135107471852617
1602794,1602823,-1.0
1603388,1603420,7.196519959058343
1778574,1778693,-1.0
1778710,1779009,-1.0
1779009,1779119,-1.0
1779134,1779434,-1.0
1780630,1780929,-1.0
1780929,1781229,-1.0
1781231,1781503,-1.0
1781515,1781814,-1.0
1781814,1782113,-1.0
1782113,1782403,-1.0
1782434,1782555,-1.0
2117252,2117279,14.762538382804506
2118047,2118070,4.674513817809622
2118681,2118708,11.610030706243604
2119099,2119120,-1.0
2135304,2135604,-1.0
2135604,2135677,-1.0
2135697,2135756,-1.0
2135793,2136071,-0.3694984646878198
2136096,2136164,0.2610030706243604
2136199,2136347,3.4135107471852617
2136358,2136657,4.044012282497441
2291999,2292298,-1.0
2292298,2292558,-1.0
2292571,2292870,-1.0
2292870,2293020,-1.0
2293051,2293062,-1.0
2293562,2293861,-1.0
2293861,2294161,-1.0
2294161,2294190,-1.0
2294206,2294307,-1.0
2294799,2295099,-1.0
2295099,2295399,-1.0
2295399,2295508,-1.0
2312509,2312647,-1.0
2312668,2312818,-1.0
2312916,2313101,-0.3694984646878198
2313119,2313418,-1.0
2313418,2313717,-1.0
2313794,2313828,11.610030706243604
2314136,2314435,-1.0
2314435,2314735,-1.0
2314735,2315034,-1.0
2315034,2315091,-1.0
2718401,2718662,-1.0
2718773,2719071,-1.0
2741956,2742103,-1.0
2742114,2742322,-1.0
2742483,2742782,-1.0
2742782,2742916,-1.0
2742936,2743063,-1.0
2831647,2831731,-1.0
2831744,2832043,-1.0
2832044,2832342,-1.0
2832343,2832393,-1.0
2892738,2892763,3.4135107471852617
2892836,2892869,-1.0
2892883,2892907,-1.0
2894479,2894498,-1.0
2894657,2894676,4.674513817809622
