start,end,value
712,19432,1
19433,19761,-1
19762,19912,1
19913,20061,-1
20062,20662,1
20663,20751,-1
20752,20992,1
20993,21130,-1
21131,23632,1
23633,74770,-1
74771,77531,1
77532,90541,-1
90542,117131,1
117132,178539,-1
178540,178750,1
178751,178870,-1
178871,181360,1
181361,181510,-1
181511,207910,1
207911,208089,-1
208090,208180,1
208181,260638,-1
260639,289091,1
289092,347944,-1
347945,352631,1
352632,353164,-1
353165,353345,1
353346,364204,-1
364205,377705,1
377706,394030,-1
394031,395591,1
395592,429678,-1
429679,431389,1
431390,431478,-1
431479,433249,1
433250,433488,-1
433489,434689,1
434690,434748,-1
434749,464239,1
464240,520428,-1
520429,520459,1
520460,520518,-1
520519,520789,1
520790,520968,-1
520969,551239,1
551240,605951,-1
605952,606312,1
606313,606371,-1
606372,612822,1
612823,613961,-1
613962,614022,1
614023,623501,-1
623502,623712,1
623713,628870,-1
628871,640122,1
640123,694475,-1
694476,698046,1
698047,698170,-1
698171,729191,1
729192,787270,-1
787271,792342,1
792343,792401,-1
792402,794382,1
794383,794441,-1
794442,799451,1
799452,799781,-1
799782,813462,1
813463,813581,-1
813582,814872,1
814873,819610,-1
819611,821531,1
821532,872816,-1
872817,872937,1
872938,873026,-1
873027,891897,1
891898,892826,-1
892827,893037,1
893038,893246,-1
893247,893457,1
893458,893696,-1
893697,893817,1
893818,894866,-1
894867,894987,1
894988,953741,-1
953742,973932,1
973933,974230,-1
974231,981432,1
981433,1034831,-1
1034832,1035972,1
1035973,1036031,-1
1036032,1068162,1
1068163,1125602,-1
1125603,1126953,1
1126954,1127462,-1
1127463,1137153,1
1137154,1137250,-1
1137251,1155363,1
1155364,1215253,-1
1215254,1215734,1
1215735,1215790,-1
1215791,1240064,1
1240065,1240183,-1
1240184,1240244,1
1240245,1302491,-1
1302492,1302792,1
1302793,1302851,-1
1302852,1329552,1
1329553,1329941,-1
1329942,1330122,1
1330123,1406833,-1
1406834,1421084,1
1421085,1464130,-1
1464131,1467071,1
1467072,1467491,-1
1467492,1467972,1
1467973,1470461,-1
1470462,1470942,1
1470943,1471751,-1
1471752,1472112,1
1472113,1474031,-1
1474032,1474212,1
1474213,1484651,-1
1484652,1508772,1
1508773,1562062,-1
1562063,1566491,1
1566492,1566550,-1
1566551,1575743,1
1575744,1575952,-1
1575953,1591013,1
1591014,1591162,-1
1591163,1591223,1
1591224,1653970,-1
1653971,1662656,1
1662657,1662745,-1
1662746,1662806,1
1662807,1662955,-1
1662956,1675226,1
1675227,1735870,-1
1735871,1764133,1
1764134,1817076,-1
1817077,1821877,1
1821878,1821996,-1
1821997,1827491,1
1827492,1827636,-1
1827637,1831087,1
1831088,1831176,-1
1831177,1834117,1
1834118,1834356,-1
1834357,1834537,1
1834538,1834716,-1
1834717,1841947,1
1841948,1901790,-1
1901791,1932511,1
1932512,1934850,-1
1934851,1935391,1
1935392,2005870,-1
2005871,2023743,1
2023744,2081192,-1
2081193,2101713,1
2101714,2102042,-1
2102043,2109093,1
2109094,2160791,-1
2160792,2162232,1
2162233,2168711,-1
2168712,2196912,1
2196913,2335937,-1
2335938,2348778,1
2348779,2349287,-1
2349288,2361168,1
2361169,2432470,-1
2432471,2455512,1
2455513,2455690,-1
2455691,2458242,1
2458243,2508008,-1
2508009,2516139,1
2516140,2516590,-1
2516591,2520159,1
2520160,2520488,-1
2520489,2535459,1
2535460,2572510,-1
2572511,2573771,1
2573772,2603470,-1
2603471,2629451,1
2629452,2679007,-1
2679008,2681528,1
2681529,2683630,-1
2683631,2690348,1
2690349,2690797,-1
2690798,2710328,1
2710329,2769552,-1
2769553,2776271,1
2776272,2776692,-1
2776693,2783083,1
2783084,2783262,-1
2783263,2799551,1
2799552,2943730,-1
2943731,2970685,1
2970686,3024866,-1
3024867,3026937,1
3026938,3027296,-1
3027297,3027387,1
3027388,3030206,-1
3030207,3031587,1
3031588,3031736,-1
3031737,3059757,1
3059758,3116950,-1
3116951,3117581,1
3117582,3117640,-1
3117641,3128321,1
3128322,3128380,-1
3128381,3128531,1
3128532,3128830,-1
3128831,3138341,1
3138342,3138430,-1
3138431,3143441,1
3143442,3143680,-1
3143681,3143801,1
3143802,3204011,-1
3204012,3206052,1
3206053,3206111,-1
3206112,3208332,1
3208333,3208571,-1
3208572,3208692,1
3208693,3208841,-1
3208842,3209112,1
3209113,3209291,-1
3209292,3213732,1
3213733,3214001,-1
3214002,3229332,1
3229333,3229541,-1
3229542,3232182,1
