start,end,value
58948,58980,-0.02862884774649183
60573,60578,0.01391295454198282
143882,144182,-0.02508369755578559
144182,144481,-0.03926429831861054
144481,144600,-0.032173997937198065
144620,144624,0.0883611085468138
145078,145080,0.03518385568622024
145154,145453,-0.0002676462208421279
145453,145752,-0.01444824698366688
145752,145905,-0.01444824698366688
153165,153173,0.04581930625833895
153815,153873,-0.05699004927214173
154032,154091,-0.021538547365079354
155203,155316,-0.05699004927214173
155337,155542,0.04581930625833895
155562,155618,0.0599999070211639
155632,155770,0.06354505721187013
155792,155854,0.024548405114101533
155879,155928,0.024548405114101533
155949,155986,0.04227415606763272
156013,156035,0.006822654160570346
156054,156098,0.03872900587692648
156123,156421,0.017458104732689057
156425,156469,0.04936445644904519
235724,235729,-0.09598670136991033
242968,242970,-0.021538547365079354
295073,295076,-0.07471580022567291
582364,582377,0.05645475683045766
582469,582471,-0.120802752704854
693673,693678,0.03518385568622024
780500,780799,0.0032775039698641093
780799,781099,-0.01444824698366688
781099,781399,-0.003812796411548168
781399,781481,-0.010903096792960643
781494,781631,-0.003812796411548168
782120,782374,0.017458104732689057
782388,782436,-0.017993397174373118
782465,782765,-0.007357946602254405
782765,782863,-0.0002676462208421279
782876,783175,-0.046354598700023016
784589,784591,0.0599999070211639
784636,784638,0.10963200969105122
901550,901557,-0.18461545613756616
901584,901586,-0.17752515575615369
901685,901696,-0.19170575651897864
901763,901781,-0.07471580022567291
902505,902598,-0.1314382032769727
902811,902813,-0.14916395423050388
902823,902826,-0.12434790289556023
902839,903136,-0.14561880403979766
903140,903147,-0.032173997937198065
903204,903219,-0.02508369755578559
929654,929953,-0.15625425461191636
929960,930250,-0.19170575651897864
930266,930564,-0.1881606063282724
930565,930708,-0.13498335346767895
930760,930763,-0.1704348553747412
930780,930886,-0.16334455499332884
1072343,1072349,-0.1810703059468599
1072893,1072902,-0.16688970518403506
1073201,1073218,-0.19525090670968487
1073232,1073281,-0.18461545613756616
1073291,1073522,-0.1597994048026226
1073593,1073595,-0.15625425461191636
1106449,1106749,-0.11016730213273528
1106750,1107003,-0.08535125079779161
1107019,1107319,-0.09953185156061657
1107319,1107399,-0.09953185156061657
1107414,1107658,-0.08889640098849785
1187899,1187902,-0.003812796411548168
1188930,1188938,0.07772565797469509
1188952,1188987,0.06354505721187013
1189061,1189071,0.13444806102599488
1189325,1189341,0.06709020740257637
1189374,1189390,-0.007357946602254405
1189414,1189419,-0.007357946602254405
1189637,1189648,0.1734447131237635
1189973,1189990,0.0032775039698641093
1190208,1190212,0.1379932112167011
1190273,1190276,0.18762531388658843
1190531,1190538,0.06354505721187013
1190580,1190586,0.13444806102599488
1190969,1190984,0.13090291083528866
1191138,1191196,0.03163870549551401
1191265,1191285,0.04227415606763272
1191415,1191448,-0.06762549984426043
1191515,1191549,-0.09244155117920409
1191581,1191600,0.06354505721187013
1191714,1191796,0.006822654160570346
1246942,1247064,-0.1420736538490914
1247092,1247392,-0.16334455499332884
1247392,1247691,-0.1704348553747412
1247691,1247853,-0.15625425461191636
1247883,1247891,0.017458104732689057
1247983,1248267,-0.1314382032769727
1248321,1248341,-0.06762549984426043
1269271,1269280,-0.02508369755578559
1269362,1269394,-0.046354598700023016
1269857,1269874,-0.07471580022567291
1270516,1270529,-0.05344489908143549
1270540,1270840,-0.13852850365838518
1270840,1270862,-0.12789305308626647
1270876,1270890,-0.06762549984426043
1270909,1271108,-0.09244155117920409
1271157,1271328,-0.06053519946284796
1271456,1271465,-0.09953185156061657
1271564,1271567,-0.021538547365079354
1272031,1272099,-0.08180610060708539
1272425,1272429,0.09545140892822628
1272456,1272755,-0.01444824698366688
1272755,1273027,-0.032173997937198065
1273043,1273237,-0.035719148127904304
1600481,1600485,-0.10662215194202905
1601265,1601294,-0.10307700175132281
1601309,1601311,-0.08889640098849785
1601469,1601474,0.15217381197952606
1601635,1601640,0.20889621503082587
1601690,1601693,0.13090291083528866
1602676,1602680,0.19826076445870716
1602794,1602823,0.03518385568622024
1602898,1602912,0.14508351159811358
1603198,1603200,-0.04989974889072925
1603278,1603284,0.024548405114101533
1603388,1603420,-0.02508369755578559
1603433,1603435,0.12381261045387618
1603623,1603635,0.14862866178881984
1604683,1604685,-0.06762549984426043
1778574,1778693,-0.15270910442121013
1778710,1779009,-0.1704348553747412
1779009,1779119,-0.14916395423050388
1779134,1779434,-0.17752515575615369
1780630,1780929,-0.1704348553747412
1780929,1781229,-0.1810703059468599
1781231,1781503,-0.12789305308626647
1781515,1781814,-0.15625425461191636
1781814,1782113,-0.16688970518403506
1782113,1782403,-0.1597994048026226
1782434,1782555,-0.1597994048026226
1799532,1799534,0.021003254923395293
1942573,1942577,-0.01444824698366688
2117220,2117231,0.09190625873752004
2117252,2117279,0.1273577606445824
2117532,2117535,0.21598651541223834
2117868,2117872,0.15926411236093854
2117931,2117939,-0.003812796411548168
2118047,2118070,0.12381261045387618
2118235,2118239,0.0599999070211639
2118681,2118708,0.12026746026316994
2118742,2118752,0.03872900587692648
2118961,2118968,0.09899655911893251
2119099,2119120,0.07063535759328261
2135304,2135604,0.04936445644904519
2135604,2135677,0.04581930625833895
2135697,2135756,0.0599999070211639
2135793,2136071,0.06709020740257637
2136096,2136164,0.14508351159811358
2136199,2136347,0.09190625873752004
2136358,2136657,0.13090291083528866
2136657,2136661,0.09545140892822628
2291999,2292298,-0.120802752704854
2292298,2292558,-0.1314382032769727
2292571,2292870,-0.1420736538490914
2292870,2293020,-0.13498335346767895
2293034,2293041,-0.05344489908143549
2293051,2293062,-0.08180610060708539
2293562,2293861,-0.11725760251414775
2293861,2294161,-0.13498335346767895
2294161,2294190,-0.06408034965355419
2294206,2294307,-0.09244155117920409
2294572,2294581,0.03518385568622024
2294639,2294650,0.07772565797469509
2294731,2294734,-0.035719148127904304
2294784,2294786,-0.032173997937198065
2294799,2295099,-0.1420736538490914
2295099,2295399,-0.14916395423050388
2295399,2295508,-0.09598670136991033
2312509,2312647,0.05645475683045766
2312668,2312818,0.04581930625833895
2312916,2313101,0.0599999070211639
2313119,2313418,0.0599999070211639
2313418,2313717,0.06354505721187013
2313862,2313865,0.06709020740257637
2314136,2314435,0.05645475683045766
2314435,2314735,0.07772565797469509
2314735,2315034,0.07418050778398885
2315034,2315091,0.09190625873752004
2542187,2542195,0.04936445644904519
2542578,2542581,0.0599999070211639
2542679,2542682,-0.010903096792960643
2542702,2542708,-0.007357946602254405
2543222,2543232,0.09899655911893251
2546819,2546829,0.024548405114101533
2547995,2547999,0.0883611085468138
2718401,2718662,-0.15625425461191636
2718773,2719071,-0.18461545613756616
2741956,2742103,-0.1810703059468599
2742114,2742322,-0.21297665766321605
2742483,2742782,-0.20943150747250983
2742782,2742916,-0.20943150747250983
2742936,2743063,-0.18461545613756616
2804536,2804540,-0.07471580022567291
2804560,2804565,-0.20588635728180357
2831647,2831731,-0.15270910442121013
2831744,2832043,-0.15625425461191636
2832044,2832342,-0.1420736538490914
2832343,2832393,-0.10662215194202905
2886655,2886658,0.08127080816540133
2886724,2886728,0.03518385568622024
2891837,2891839,-0.046354598700023016
2892738,2892763,-0.007357946602254405
2892836,2892869,0.06709020740257637
2892883,2892907,0.08127080816540133
2892973,2892976,0.08127080816540133
2894034,2894048,0.1273577606445824
2894080,2894083,-0.0002676462208421279
2894121,2894124,0.25498316751000677
2894251,2894255,0.1734447131237635
2894359,2894369,0.17698986331446973
2894416,2894432,0.1273577606445824
2894479,2894498,0.03872900587692648
2894657,2894676,0.07063535759328261
2894837,2894859,0.10254170930963875
2894882,2894887,-0.032173997937198065
2894908,2894911,-0.10662215194202905
2903931,2904230,-0.2342475588074535
2904231,2904483,-0.2165218078539223
2904532,2904832,-0.20588635728180357
2921434,2921440,-0.032173997937198065
2921873,2921877,-0.19879605690039112
2922465,2922471,-0.227157258426041
2973222,2973226,0.14862866178881984
3091607,3091768,0.14862866178881984
3091786,3092055,0.13090291083528866
3092073,3092371,0.07772565797469509
3092372,3092401,0.09899655911893251
3092419,3092719,0.09545140892822628
3092719,3092767,0.12381261045387618
3092778,3092831,0.1379932112167011
3092842,3093011,0.10608685950034498
3252482,3252495,0.07063535759328261
3259757,3259761,0.16635441274235102
3260876,3260879,-0.05699004927214173
3260917,3260922,0.017458104732689057
3260960,3260973,-0.08889640098849785
3261073,3261079,-0.08180610060708539
3320515,3320554,-0.11725760251414775
3320577,3320876,-0.17398000556544746
3320876,3321176,-0.19879605690039112
3321238,3321538,-0.20234120709109735
3350476,3350555,-0.15270910442121013
3507651,3507950,-0.1420736538490914
3507950,3508139,-0.08535125079779161
3592189,3592488,-0.16688970518403506
3592488,3592570,-0.11725760251414775
3592618,3592781,-0.1597994048026226
3597060,3597073,0.006822654160570346
3597155,3597165,-0.035719148127904304
3607007,3607256,-0.1314382032769727
3607664,3607666,-0.08535125079779161
3608367,3608372,0.006822654160570346
3610220,3610223,0.17698986331446973
3610234,3610237,0.14508351159811358
3613410,3613413,0.07772565797469509
3615796,3615812,-0.04989974889072925
3615845,3615894,0.04936445644904519
3615946,3615948,0.09190625873752004
3616016,3616030,0.13090291083528866
3616906,3616909,-0.021538547365079354
3617381,3617406,-0.05699004927214173
3670853,3670859,0.18053501350517595
3670983,3670990,0.03872900587692648
3678148,3678163,0.07418050778398885
3687279,3687313,0.10963200969105122
3687437,3687450,0.21598651541223834
3687740,3687743,0.07418050778398885
3687755,3687757,0.21953166560294438
3856686,3856688,-0.02862884774649183
3863837,3863843,0.1273577606445824
3924083,3924088,-0.05344489908143549
3924115,3924415,-0.16334455499332884
3924415,3924714,-0.15625425461191636
3924714,3924769,-0.16334455499332884
3924790,3924802,-0.01444824698366688
3924873,3925173,-0.17752515575615369
3925394,3925404,-0.12434790289556023
3958248,3958547,-0.13498335346767895
3958827,3959114,-0.1704348553747412
3959124,3959211,-0.1704348553747412
3959253,3959375,-0.16334455499332884
4012945,4012947,-0.0002676462208421279
4012995,4013294,-0.1810703059468599
4013294,4013556,-0.1810703059468599
4014560,4014568,0.04581930625833895
4017963,4018156,-0.16334455499332884
4018212,4018490,-0.19170575651897864
4019211,4019218,-0.11016730213273528
4019361,4019367,-0.07117065003496667
4046246,4046545,-0.14561880403979766
4046753,4047053,-0.1810703059468599
4099052,4099066,-0.11016730213273528
4099077,4099086,-0.15270910442121013
4111517,4111550,-0.08180610060708539
4112215,4112219,0.15217381197952606
4114067,4114092,-0.06762549984426043
4114163,4114204,0.021003254923395293
4114338,4114349,0.03872900587692648
4114607,4114614,0.08481595835610756
4114670,4114675,0.1167223100724637
4114780,4114784,0.05645475683045766
4114863,4114889,-0.007357946602254405
4114922,4114950,0.017458104732689057
4114984,4114994,-0.007357946602254405
4115057,4115110,0.07063535759328261
4115269,4115281,0.0032775039698641093
4115409,4115480,-0.035719148127904304
4116190,4116192,-0.003812796411548168
4267055,4267057,0.09899655911893251
4267515,4267521,0.10254170930963875
4267971,4268271,-0.13852850365838518
4268271,4268570,-0.1420736538490914
4268570,4268702,-0.09598670136991033
4268781,4268784,-0.06053519946284796
4268808,4268814,0.03518385568622024
4268852,4268862,-0.06762549984426043
4268926,4268941,0.010367804351276584
4299311,4299611,-0.11371245232344152
4299611,4299855,-0.1314382032769727
4299872,4300027,-0.12434790289556023
4529522,4529647,-0.14916395423050388
4529657,4529956,-0.14561880403979766
4529956,4529996,-0.13498335346767895
4530009,4530227,-0.1420736538490914
4530298,4530412,-0.16334455499332884
4530429,4530728,-0.13852850365838518
4530834,4530844,-0.09953185156061657
4530889,4530902,-0.05699004927214173
4530964,4530975,-0.04989974889072925
4531006,4531012,-0.10662215194202905
4543385,4543684,-0.12789305308626647
4543684,4543745,-0.13498335346767895
4543761,4544060,-0.16334455499332884
4544060,4544359,-0.15270910442121013
4700253,4700334,-0.19170575651897864
4700347,4700351,-0.17398000556544746
4700577,4700743,-0.19879605690039112
4700813,4701060,-0.120802752704854
4748931,4748953,-0.08535125079779161
4749049,4749348,-0.18461545613756616
4749348,4749647,-0.20234120709109735
4749647,4749947,-0.227157258426041
4749947,4750041,-0.19525090670968487
4786268,4786385,-0.17398000556544746
4786430,4786729,-0.1881606063282724
4786729,4786971,-0.16688970518403506
4786987,4787188,-0.16688970518403506
4787201,4787458,-0.12789305308626647
4787513,4787538,-0.06762549984426043
4824882,4825182,-0.19170575651897864
4825182,4825221,-0.20234120709109735
4825532,4825766,-0.20588635728180357
4832947,4832951,0.14508351159811358
4900997,4901001,-0.046354598700023016
4902376,4902384,0.006822654160570346
4902398,4902433,-0.04989974889072925
4902483,4902489,0.10254170930963875
4902511,4902551,0.03872900587692648
4902600,4902610,0.1273577606445824
4902753,4902756,0.21953166560294438
4903003,4903046,0.14508351159811358
4903061,4903065,0.14153836140740736
4903252,4903274,0.03872900587692648
4903295,4903317,0.06709020740257637
4903331,4903375,0.03518385568622024
4903483,4903486,0.03872900587692648
4903632,4903643,0.021003254923395293
4903690,4903716,0.07063535759328261
4903756,4903781,0.01391295454198282
4903889,4903905,-0.07826095041637915
4903959,4903978,-0.06053519946284796
4904009,4904022,0.04936445644904519
4904135,4904222,-0.03926429831861054
5131441,5131741,-0.1314382032769727
5131741,5132015,-0.1314382032769727
5132026,5132196,-0.12789305308626647
5132207,5132506,-0.11725760251414775
5132670,5132698,-0.021538547365079354
5132739,5132743,0.02809355530480777
5132767,5132778,-0.046354598700023016
5147124,5147148,-0.017993397174373118
5148030,5148054,-0.02862884774649183
5169743,5169804,-0.06053519946284796
5169866,5169869,-0.2165218078539223
5169881,5170180,-0.11371245232344152
5170331,5170630,-0.11371245232344152
5170630,5170876,-0.10307700175132281
5321063,5321222,-0.14916395423050388
5321236,5321452,-0.15270910442121013
5321465,5321637,-0.1704348553747412
5322381,5322680,-0.227157258426041
5322680,5322919,-0.20234120709109735
5350269,5350281,0.08481595835610756
5404788,5404800,0.07063535759328261
5437168,5437187,0.19117046407729468
5501391,5501691,-0.22006695804462853
5501691,5501756,-0.20943150747250983
5501771,5501959,-0.19170575651897864
5502011,5502112,-0.15270910442121013
5502328,5502348,-0.15625425461191636
5502400,5502402,-0.09244155117920409
5502420,5502424,-0.003812796411548168
5502448,5502723,-0.18461545613756616
5502736,5503035,-0.15270910442121013
5503035,5503185,-0.10307700175132281
5503281,5503307,0.12381261045387618
5505071,5505073,-0.05699004927214173
5505778,5505842,-0.03926429831861054
5505881,5505934,0.09190625873752004
5505980,5505983,0.16635441274235102
5506458,5506466,0.10963200969105122
5506611,5506616,0.1947156142680009
5506752,5506764,0.16280926255164477
5506837,5506839,0.13444806102599488
5507073,5507111,-0.12434790289556023
5507168,5507220,-0.010903096792960643
5507524,5507529,0.16635441274235102
5507619,5507716,-0.042809448509316776
5508452,5508455,0.1734447131237635
5783198,5783201,0.05290960663975143
5851029,5851037,0.17698986331446973
5851535,5851537,0.2018059146494134
6096810,6096816,-0.010903096792960643
6097038,6097041,-0.007357946602254405
6122530,6122543,0.10963200969105122
6122624,6122626,0.04227415606763272
6122668,6122672,-0.15625425461191636
6123556,6123562,0.010367804351276584
6350693,6350697,-0.003812796411548168
6366624,6366626,0.12381261045387618
6366976,6366989,-0.08180610060708539
6367030,6367039,-0.16688970518403506
6367058,6367282,-0.1420736538490914
6367764,6367775,0.017458104732689057
6371967,6371999,0.08481595835610756
6372097,6372172,-0.11725760251414775
6378194,6378197,0.17698986331446973
6435589,6435601,-0.035719148127904304
6514893,6514895,0.04936445644904519
6515204,6515255,-0.10662215194202905
6515286,6515320,-0.12789305308626647
6515448,6515532,-0.09598670136991033
6515547,6515560,-0.09598670136991033
6515598,6515803,-0.10307700175132281
6515894,6515896,0.15571896217023232
6515973,6516125,-0.11016730213273528
6538818,6538827,-0.03926429831861054
6539604,6539619,-0.01444824698366688
6552921,6552979,-0.10662215194202905
6553122,6553132,-0.13852850365838518
6553145,6553438,-0.10307700175132281
6553484,6553783,-0.11725760251414775
6553801,6554024,-0.11016730213273528
6554038,6554060,-0.09244155117920409
6700273,6700279,0.06709020740257637
6700541,6700547,0.0032775039698641093
6700990,6700993,-0.04989974889072925
6702256,6702292,-0.06053519946284796
6711757,6711763,0.1273577606445824
6711874,6711877,0.21598651541223834
6712228,6712233,-0.05699004927214173
6714217,6714242,0.04936445644904519
6714271,6714302,0.0883611085468138
6714334,6714400,0.1167223100724637
6714539,6714550,0.1947156142680009
6715174,6715177,0.2018059146494134
6715442,6715448,0.08127080816540133
6715490,6715529,0.06709020740257637
6715638,6715643,0.1273577606445824
6715819,6715823,0.14153836140740736
6715905,6715913,0.18762531388658843
6716268,6716331,0.01391295454198282
6716344,6716346,0.05645475683045766
6717242,6717248,-0.007357946602254405
6717463,6717466,0.08127080816540133
7156677,7156680,0.16280926255164477
7232264,7232271,0.1273577606445824
7232477,7232777,-0.1810703059468599
7232777,7233076,-0.1704348553747412
7233076,7233149,-0.09953185156061657
7233164,7233169,-0.08889640098849785
7233284,7233287,0.024548405114101533
7233320,7233322,0.03518385568622024
7233399,7233434,-0.120802752704854
7233488,7233781,-0.14916395423050388
7233795,7234094,-0.15625425461191636
7234094,7234119,-0.07826095041637915
7234311,7234313,0.12026746026316994
7293536,7293566,-0.021538547365079354
7293598,7293619,-0.010903096792960643
7293661,7293673,-0.046354598700023016
7293722,7293765,0.0883611085468138
7293955,7293979,0.14508351159811358
7294007,7294012,0.08127080816540133
7294468,7294470,0.16280926255164477
7294722,7294726,0.18762531388658843
7294812,7294846,0.1273577606445824
7294941,7294984,0.04227415606763272
7295017,7295027,0.14508351159811358
7295050,7295054,0.15926411236093854
7295122,7295129,0.02809355530480777
7295167,7295182,0.19117046407729468
7295309,7295317,0.06354505721187013
7295392,7295412,0.03163870549551401
7295520,7295583,-0.06762549984426043
7296312,7296315,0.08127080816540133
7309014,7309071,-0.08180610060708539
7309854,7309885,0.08127080816540133
7310066,7310099,-0.08180610060708539
7310658,7310661,0.021003254923395293
7315667,7315670,-0.07826095041637915
7316491,7316527,0.0032775039698641093
7324739,7324752,0.15571896217023232
7569853,7570152,-0.1314382032769727
7570152,7570452,-0.14916395423050388
7570595,7570770,-0.17398000556544746
7571338,7571344,-0.035719148127904304
7642219,7642225,-0.02862884774649183
7642563,7642569,-0.2165218078539223
7642654,7642954,-0.13498335346767895
7642954,7643106,-0.09598670136991033
7643117,7643128,-0.02508369755578559
7656393,7656395,-0.120802752704854
7675808,7675810,-0.1881606063282724
7675992,7676005,-0.18461545613756616
7725731,7725737,0.010367804351276584
7726025,7726032,-0.1881606063282724
7726053,7726057,-0.1704348553747412
7726068,7726075,-0.1704348553747412
7726094,7726111,-0.16688970518403506
7726166,7726184,-0.17398000556544746
7726199,7726245,-0.1810703059468599
7726256,7726276,-0.14561880403979766
7726294,7726319,-0.13498335346767895
7726334,7726594,-0.11371245232344152
7726624,7726643,-0.08180610060708539
7757146,7757161,-0.05344489908143549
7757191,7757491,-0.09953185156061657
7757491,7757561,-0.08889640098849785
7757858,7757913,-0.13852850365838518
7757937,7757974,-0.1314382032769727
7758001,7758025,-0.120802752704854
7758037,7758061,-0.1314382032769727
7758072,7758195,-0.12789305308626647
7758259,7758386,-0.12434790289556023
7810871,7811023,-0.19879605690039112
7811041,7811341,-0.2165218078539223
7811341,7811515,-0.21297665766321605
7833831,7834130,-0.18461545613756616
7834130,7834155,-0.19525090670968487
7834166,7834213,-0.19170575651897864
7834225,7834364,-0.19170575651897864
7834383,7834457,-0.1881606063282724
7834480,7834720,-0.20234120709109735
7842617,7842619,-0.20234120709109735
7842815,7842817,-0.19525090670968487
7850314,7850319,-0.08535125079779161
7929231,7929237,0.07063535759328261
7929437,7929447,0.017458104732689057
7929679,7929712,0.10963200969105122
7930085,7930144,-0.035719148127904304
7930886,7930890,0.09190625873752004
8184160,8184278,-0.14561880403979766
8184353,8184653,-0.14916395423050388
8184653,8184737,-0.14916395423050388
8192412,8192418,-0.06762549984426043
8192468,8192767,-0.13852850365838518
8193067,8193367,-0.18461545613756616
8193367,8193374,-0.20234120709109735
8193391,8193503,-0.18461545613756616
8267119,8267122,-0.02508369755578559
8533383,8533388,-0.046354598700023016
8693873,8693876,0.13444806102599488
8709227,8709247,0.14153836140740736
8773873,8773878,0.11317715988175746
8774024,8774028,0.23725741655647556
8781211,8781511,-0.17398000556544746
8781511,8781811,-0.19170575651897864
8781811,8781866,-0.10307700175132281
8781980,8782279,-0.19170575651897864
8782279,8782579,-0.18461545613756616
8782579,8782644,-0.16334455499332884
8855556,8855590,-0.18461545613756616
8855608,8855615,-0.10662215194202905
8855653,8855667,-0.21297665766321605
8855680,8855692,-0.21297665766321605
8855704,8855708,-0.13852850365838518
8856728,8857027,-0.17752515575615369
8857027,8857197,-0.1810703059468599
8857232,8857488,-0.18461545613756616
8882124,8882128,-0.15625425461191636
8934993,8935291,-0.17752515575615369
8935293,8935502,-0.1810703059468599
8936362,8936366,-0.09953185156061657
8951131,8951431,-0.15270910442121013
8951431,8951730,-0.15625425461191636
8951857,8951875,-0.032173997937198065
8971384,8971471,-0.1314382032769727
9046826,9046839,0.14153836140740736
9046921,9047100,-0.20588635728180357
9049942,9050028,-0.08180610060708539
