start,end,value
239,24473,1
24474,24605,-1
24606,30371,1
30372,74770,-1
74771,77531,1
77532,86575,-1
86576,120671,1
120672,172570,-1
172571,207731,1
207732,255370,-1
255371,289573,1
289574,346297,-1
346298,376631,1
376632,394030,-1
394031,395591,1
395592,428170,-1
428171,464111,1
464112,515183,-1
515184,550691,1
550692,602982,-1
602983,639971,1
639972,693660,-1
693661,729191,1
729192,784471,-1
784472,821531,1
821532,863816,-1
863817,894371,1
894372,946570,-1
946571,981011,1
981012,1032970,-1
1032971,1068011,1
1068012,1119370,-1
1119371,1154351,1
1154352,1214849,-1
1214850,1239971,1
1239972,1295770,-1
1295771,1330272,1
1330273,1382170,-1
1382171,1421051,1
1421052,1464130,-1
1464131,1508711,1
1508712,1562170,-1
1562171,1590911,1
1590912,1637770,-1
1637771,1674911,1
1674912,1724170,-1
1724171,1763891,1
1763892,1810570,-1
1810571,1844771,1
1844772,1900570,-1
1900571,1935071,1
1935072,1986970,-1
1986971,2023691,1
2023692,2069770,-1
2069771,2108291,1
2108292,2156170,-1
2156171,2196671,1
2196672,2242570,-1
2242571,2276771,1
2276772,2334122,-1
2334123,2335464,1
2335465,2335531,-1
2335532,2363171,1
2363172,2421406,-1
2421407,2427030,1
2427031,2427079,-1
2427080,2431618,1
2431619,2431640,-1
2431641,2432139,1
2432140,2432155,-1
2432156,2458091,1
2458092,2505370,-1
2505371,2539873,1
2539874,2572510,-1
2572511,2573771,1
2573772,2595523,-1
2595524,2629451,1
2629452,2674570,-1
2674571,2709971,1
2709972,2765241,-1
2765242,2799551,1
2799552,2847370,-1
2847371,2881571,1
2881572,2939454,-1
2939455,2970671,1
2970672,3020397,-1
3020398,3059711,1
3059712,3110170,-1
3110171,3144673,1
3144674,3201752,-1
3201753,3231071,1
3231072,3280385,-1
3280386,3313571,1
3313572,3365770,-1
3365771,3401771,1
3401772,3455565,-1
3455566,3460874,1
3460875,3460877,-1
3460878,3486373,1
3486374,3538570,-1
3538571,3574871,1
3574872,3632979,-1
3632980,3659173,1
3659174,3675430,-1
3675431,3677111,1
3677112,3714970,-1
3714971,3751151,1
3751152,3801370,-1
3801371,3808539,1
3808540,3808680,-1
3808681,3837731,1
3837732,3884170,-1
3884171,3894552,1
3894553,3894587,-1
3894588,3918371,1
3918372,3970570,-1
3970571,3977953,1
3977954,3978301,-1
3978302,4004773,1
4004774,4056970,-1
4056971,4098131,1
4098132,4134550,-1
4134551,4137191,1
4137192,4147864,-1
4147865,4180271,1
4180272,4229770,-1
4229771,4263971,1
4263972,4327784,-1
4327785,4354271,1
4354272,4406170,-1
4406171,4441331,1
4441332,4488970,-1
4488971,4523171,1
4523172,4583410,-1
4583411,4589111,1
4589112,4596546,-1
4596547,4611551,1
4611552,4661770,-1
4661771,4670398,1
4670399,4670400,-1
4670401,4695971,1
4695972,4753967,-1
4753968,4782371,1
4782372,4836912,-1
4836913,4868771,1
4868772,4924570,-1
4924571,4959251,1
4959252,5014052,-1
5014053,5055791,1
5055792,5073070,-1
5073071,5076071,1
5076072,5099749,-1
5099750,5127971,1
5127972,5183606,-1
5183607,5217011,1
5217012,5276961,-1
5276962,5301611,1
5301612,5356771,-1
5356772,5388731,1
5388732,5429470,-1
5429471,5435171,1
5435172,5439370,-1
5439371,5475191,1
5475192,5529370,-1
5529371,5563871,1
5563872,5617391,-1
5617392,5650691,1
5650692,5705797,-1
5705798,5734331,1
5734332,5788136,-1
5788137,5821571,1
5821572,5875689,-1
5875690,5905573,1
5905574,5957770,-1
5957771,5992151,1
5992152,6046340,-1
6046341,6078371,1
6078372,6136345,-1
6136346,6168671,1
6168672,6220570,-1
6220571,6255071,1
6255072,6303370,-1
6303371,6308620,1
6308621,6308842,-1
6308843,6337572,1
6337573,6390047,-1
6390048,6423971,1
6423972,6479069,-1
6479070,6510371,1
6510372,6566541,-1
6566542,6596771,1
6596772,6653915,-1
6653916,6683171,1
6683172,6738970,-1
6738971,6771413,1
6771414,6771471,-1
6771472,6773471,1
6773472,6825370,-1
6825371,6859871,1
6859872,6908170,-1
6908171,6942374,1
6942375,6994570,-1
6994571,7028772,1
7028773,7085810,-1
7085811,7115531,1
7115532,7168818,-1
7168819,7201571,1
7201572,7253770,-1
7253771,7287972,1
7287973,7343770,-1
7343771,7378271,1
7378272,7430170,-1
7430171,7464671,1
7464672,7512970,-1
7512971,7547171,1
7547172,7594630,-1
7594631,7595591,1
7595592,7603396,-1
7603397,7633571,1
7633572,7689656,-1
7689657,7719971,1
7719972,7776387,-1
7776388,7806373,1
7806374,7863602,-1
7863603,7893311,1
7893312,7948570,-1
7948571,7983073,1
7983074,8034970,-1
8034971,8069471,1
8069472,8121813,-1
8121814,8151972,1
8151973,8209019,-1
8209020,8210824,1
8210825,8210839,-1
8210840,8238373,1
8238374,8290570,-1
8290571,8324772,1
8324773,8381079,-1
8381080,8411171,1
8411172,8463370,-1
8463371,8478178,1
8478179,8478202,-1
8478203,8500451,1
8500452,8553370,-1
8553371,8585924,1
8585925,8585927,-1
8585928,8587873,1
8587874,8639770,-1
8639771,8674271,1
8674272,8727299,-1
8727300,8756771,1
8756772,8808970,-1
8808971,8815665,1
8815666,8815666,-1
8815667,8843172,1
8843173,8895370,-1
8895371,8929571,1
8929572,8986174,-1
8986175,9015971,1
9015972,9068170,-1
9068171,9105071,1
9105072,9158170,-1
9158171,9192671,1
9192672,9246628,-1
9246629,9279072,1
9279073,9327370,-1
9327371,9361571,1
9361572,9418004,-1
9418005,9447973,1
9447974,9505067,-1
9505068,9534373,1
9534374,9586570,-1
9586571,9621131,1
9621132,9675685,-1
9675686,9707171,1
9707172,9766630,-1
9766631,9791831,1
9791832,9793549,-1
9793550,9797471,1
9797472,9806890,-1
9806891,9808871,1
9808872,9849370,-1
9849371,9880273,1
9880274,9928570,-1
9928571,9962771,1
9962772,10014970,-1
10014971,10032782,1
10032783,10032963,-1
10032964,10051871,1
10051872,10101370,-1
10101371,10135571,1
10135572,10189650,-1
10189651,10194680,1
10194681,10194685,-1
10194686,10222691,1
10222692,10279631,-1
10279632,10311131,1
10311132,10365579,-1
10365580,10398671,1
10398672,10450570,-1
10450571,10485073,1
10485074,10533370,-1
10533371,10539238,1
10539239,10539241,-1
10539242,10567574,1
10567575,10619770,-1
10619771,10626963,1
10626964,10626963,-1
10626964,10627030,1
10627031,10627194,-1
10627195,10658411,1
10658412,10706170,-1
10706171,10740371,1
10740372,10792570,-1
10792571,10828571,1
10828572,10878970,-1
10878971,10913171,1
10913172,10968970,-1
10968971,11003471,1
11003472,11056694,-1
11056695,11089871,1
11089872,11142815,-1
11142816,11173211,1
11173212,11227242,-1
11227243,11261771,1
11261772,11310970,-1
11310971,11347871,1
11347872,11398030,-1
11398031,11431571,1
11431572,11485887,-1
11485888,11517971,1
11517972,11573770,-1
11573771,11608271,1
11608272,11663547,-1
11663548,11698691,1
11698692,11746589,-1
11746590,11754855,1
11754856,11754870,-1
11754871,11758109,1
11758110,11758128,-1
11758129,11779871,1
11779872,11829370,-1
11829371,11834821,1
11834822,11834855,-1
11834856,11863571,1
11863572,11915982,-1
11915983,11952371,1
11952372,12002170,-1
12002171,12037151,1
12037152,12088570,-1
12088571,12125891,1
12125892,12178570,-1
12178571,12213911,1
12213912,12264970,-1
12264971,12299471,1
12299472,12351970,-1
12351971,12381973,1
12381974,12434170,-1
12434171,12468372,1
12468373,12520570,-1
12520571,12554831,1
12554832,12609661,-1
12609662,12641171,1
12641172,12698560,-1
12698561,12728771,1
12728772,12783370,-1
12783371,12817871,1
12817872,12869770,-1
12869771,12904271,1
12904272,12952570,-1
12952571,12987671,1
12987672,13028230,-1
13028231,13033751,1
13033752,13038970,-1
13038971,13074311,1
13074312,13126857,-1
13126858,13161131,1
13161132,13211770,-1
13211771,13245973,1
13245974,13300707,-1
13300708,13332371,1
13332372,13389074,-1
13389075,13422671,1
13422672,13474570,-1
13474571,13509071,1
13509072,13562095,-1
13562096,13593191,1
13593192,13643770,-1
13643771,13680671,1
13680672,13725670,-1
13725671,13766771,1
13766772,13816570,-1
13816571,13828367,1
13828368,13828408,-1
13828409,13850771,1
13850772,13903684,-1
13903685,13940051,1
13940052,13995160,-1
13995161,14027711,1
14027712,14079869,-1
14079870,14113872,1
14113873,14167038,-1
14167039,14196373,1
14196374,14253023,-1
14253024,14282771,1
14282772,14339496,-1
14339497,14369171,1
14369172,14424594,-1
14424595,14455572,1
14455573,14507770,-1
14507771,14513368,1
14513369,14513405,-1
14513406,14542091,1
14542092,14598916,-1
14598917,14632272,1
14632273,14685226,-1
14685227,14718671,1
14718672,14770623,-1
14770624,14801351,1
14801352,14858254,-1
14858255,14887571,1
14887572,14939770,-1
14939771,14975831,1
14975832,15026170,-1
15026171,15032467,1
15032468,15032610,-1
15032611,15032649,1
15032650,15032666,-1
15032667,15062951,1
15062952,15114705,-1
15114706,15148571,1
15148572,15203500,-1
15203501,15237071,1
15237072,15252070,-1
15252071,15253271,1
15253272,15288970,-1
15288971,15323472,1
15323473,15371770,-1
15371771,15405971,1
15405972,15461294,-1
15461295,15492371,1
15492372,15549208,-1
15549209,15578771,1
15578772,15634917,-1
15634918,15665173,1
15665174,15717789,-1
15717790,15752531,1
15752532,15809829,-1
15809830,15841871,1
15841872,15893770,-1
15893771,15928271,1
15928272,15976570,-1
15976571,16010771,1
16010772,16067058,-1
16067059,16097171,1
16097172,16152687,-1
16152688,16183571,1
16183572,16235770,-1
16235771,16269972,1
16269973,16325836,-1
16325837,16356373,1
16356374,16412170,-1
