DateTime,rain,temperature_outside,pressure_outside,gw_mb,gw_sr,gw_sg,gw_west,gw_knee,gw_south,wind_x,winx_y,snow_load,humidity,glob_radiaton,strain_ew_uncorrected,strain_ns_uncorrected,strain_ew_corrected,strain_ns_corrected,tides_ew,tides_ns
2014-11-01,0.0,8.671188657407408,968.2568171296297,711.8646139599491,237.39295138888886,578.7630092592593,902.4763310185185,1011.5588078703703,863.8405787037036,-0.17322470583352753,-0.6894596203257843,4.76966400462963,98.61784722222221,0.3641728009259259,-1496.5054888760505,-306.4375515636649,-1496.8029166666665,-307.1795833333333,-3.0374458801267004,-7.000109536256396
2014-11-02,0.0,8.865595555041093,962.4894200717675,697.7272485241348,240.35834587336498,567.4724389396921,902.708599537037,1017.9119444444443,864.736087962963,-0.6515827369061631,-0.4902694947662326,4.76121099537037,96.78507929158468,0.4006820601851852,-1494.2652831275452,-304.50323639376734,-1494.617625,-305.2032083333333,-3.153369233299611,-7.433315993434278
2014-11-03,0.0,10.673517361111111,953.4527314814815,683.6350619284639,243.5082060185185,556.446550925926,903.2434953703704,1019.65,866.3771412037037,-1.0152884555373671,0.039235548549350935,4.767920486111111,93.64577546296296,0.3774003472222222,-1491.7423590971794,-302.03807390886146,-1492.0668750000002,-302.57758333333334,-3.2992768519324085,-7.795088922170444
2014-11-04,0.0,7.941426090982752,944.1433730755874,666.5027317976617,244.22634564185668,546.440369255701,903.8992476851852,1014.7688773148147,868.2672337962963,-0.5748253622401153,0.5412349877572085,4.765270833333334,98.12179650422502,0.21835081018518518,-1493.3252353933426,-298.2174555488683,-1493.5503333333334,-298.464625,-3.431900221454544,-7.979802811532892
2014-11-05,4.0,8.061602037272833,947.2604468109735,661.6476675541151,240.56750781340432,544.8770285912722,904.2502430555555,1015.5233333333333,868.6444097222222,0.07769860758454006,0.7572012189606463,4.768300347222222,99.21041787243894,0.2630230324074074,-1501.4872444147043,-294.3756033442383,-1501.57225,-294.2150833333333,-3.502313972336937,-7.9193888544600695
2014-11-06,1.0,6.130272022224794,957.228463942586,759.9228382914689,249.68753906702165,616.231305706679,904.0946527777778,1015.1098726851852,867.577800925926,-0.22070934132313677,0.628478640809651,4.767977893518518,100.0,0.18591550925925926,-1505.253283478822,-295.8047375467019,-1505.1955416666667,-295.374375,-3.4756901519180925,-7.611954068647738
2014-11-07,3.0,3.4154293981481483,955.9773611111111,719.5182544275958,264.3246412037037,681.6883912037038,904.3655439814814,1016.5877777777778,867.3363773148147,-0.9422739666281315,0.3725839359257952,4.749738541666667,100.0,0.19293217592592593,-1501.2476718577886,-296.42156021468804,-1501.0776666666668,-295.82554166666665,-3.3484190740841986,-7.126003877598429
2014-11-08,1.0,5.296107188331983,959.6296099085542,683.2755064243546,271.53193656673227,681.6957170968861,904.5449652777778,1023.1380671296297,866.8014583333332,-0.09575499141480197,0.8290002536203437,4.752293518518519,98.53609214029402,0.3396103009259259,-1503.8218427415418,-300.58098571830317,-1503.5920833333332,-299.99133333333333,-3.1499560356265195,-6.573646472984136
2014-11-09,0.0,3.462406528533395,956.7675193888181,648.2565574719297,256.8443338349346,623.1604873249219,904.77,1026.3335416666669,866.86625,-0.7855398600353923,-0.06296600395035773,4.738911689814815,100.0,0.2500736111111111,-1503.5185040317754,-302.30534444686566,-1503.2849999999999,-301.81945833333333,-2.9279151980010956,-6.067518004424108
2014-11-10,1.0,5.981879847204538,958.1562391480495,629.9031948142147,237.34756337539065,586.227809931705,904.8531597222222,1023.7724074074074,866.587650462963,-0.7181385520851239,0.351170592817217,4.749550810185185,99.38969788169926,0.34361655092592597,-1506.0240605728065,-304.43602083150785,-1505.8329166666665,-304.12720833333333,-2.727502457186887,-5.68599741951785
